No,News Title,Category,News Title Indonesia
21741,"Miley Cyrus Jokingly Attacks Avril Lavigne -- ""Dumb F--kin' Bitch!"": Watch Here!",Entertainment,"Miley Cyrus Bercanda Menyerang Avril Lavigne -- ""Dumb F--kin' Bitch!"": Tonton Di Sini!"
21217,Toyota's departure for Texas a major blow to regional economy,Economy,Keberangkatan Toyota ke Texas merupakan pukulan besar bagi perekonomian regional
41553,Kodiak Oil & Gas Shareholder Alert - Buyout Of Kodiak Oil & Gas Corporation  ...,Economy,Peringatan Pemegang Saham Minyak & Gas Kodiak - Pembelian Perusahaan Minyak & Gas Kodiak ...
10027,Facebook defends secretly manipulating users,Technology,Facebook membela manipulasi pengguna secara diam-diam
41884,US mayors to vote on climate change resolution,Technology,Walikota AS akan memberikan suara mengenai resolusi perubahan iklim
35852,Sopranos Creator: Tony Didn't Die,Entertainment,Pencipta Soprano: Tony Tidak Mati
14730,"Rick Ross, Jeezy Lead the Charge in 'War Ready' Video",Entertainment,"""Rick Ross, Jeezy Memimpin Serangan dalam Video 'Siap Perang'""."
38509,Ag markets quiet ahead of today's big USDA reports,Economy,Pasar Ag tenang menjelang laporan besar USDA hari ini
39823,Kanye Raps About How Awesome Kim Is On Future's 'I Won',Entertainment,Kanye Rap Tentang Betapa Luar Biasa Kim di 'I Won' Masa Depan
52568,"Apple Introduces Less Expensive, Lower-Powered iMac",Technology,Apple Memperkenalkan iMac yang Lebih Murah dan Bertenaga Lebih Rendah
6202,"See Chris Christie, Jimmy Fallon Dance Around Testy Issues",Entertainment,"Lihat Chris Christie, Jimmy Fallon Menari di Sekitar Masalah Testy"
7529,New Fed Chief Faces Reporters,Economy,Ketua Fed Baru Menghadapi Wartawan
63031,"Drone Almost Hit Airliner Over Florida in March, FAA Says",Economy,"Drone Hampir Menabrak Pesawat di Florida pada Bulan Maret, Kata FAA"
63131,The November Man Review,Entertainment,Ulasan Manusia November
65473,"Absorbent and porous and now in 3-D, it's the trailer for a new SpongeBob Movie",Entertainment,"Menyerap dan berpori dan sekarang dalam 3-D, ini adalah trailer Film SpongeBob baru"
2496,"Razer unveils its own microconsole, with a focus on games",Technology,"Razer meluncurkan mikrokonsolnya sendiri, dengan fokus pada game"
4415,Attenborough had one more story to tell,Entertainment,Attenborough punya satu cerita lagi untuk diceritakan
24987,Draghi Drives ECB Toward Stimulus Even as GDP Grows: Economy,Economy,Draghi Mendorong ECB Menuju Stimulus Bahkan Saat PDB Tumbuh: Ekonomi
863,Colorado Governor signs child-resistance packaging law for marijuana,Economy,Gubernur Colorado menandatangani undang-undang pengemasan ganja yang tahan anak
19041,Solange and Jay-Z Explain Their Elevator Fight on SNL,Entertainment,Solange dan Jay-Z Menjelaskan Pertarungan Lift Mereka di SNL
50695,'Neighbors' Spanks Spidey in $51 Million Box-Office Blowout,Entertainment,"""'Neighbours' Memukul Spidey dalam Ledakan Box-Office $51 Juta""."
36967,Market tumble set to continue on Friday,Economy,Kejatuhan pasar akan berlanjut pada hari Jumat
1652,Carbon cuts possible for manageable warming: experts,Technology,Pengurangan karbon mungkin dilakukan demi pemanasan yang terkendali: para ahli
14774,Watch: Random act of kindness goes viral,Economy,Saksikan: Tindakan kebaikan yang tidak disengaja menjadi viral
6929,Tesla CEO plans solar production facility for Buffalo,Economy,CEO Tesla merencanakan fasilitas produksi tenaga surya untuk Buffalo
3784,Ann B. Davis of The Brady Bunch fame has died,Entertainment,Ann B. Davis dari The Brady Bunch yang terkenal telah meninggal
2677,Watch As Outkast Reunites For Day 1 Of Coachella 2014 (VIDEO),Entertainment,Tonton Saat Outkast Bersatu Kembali Untuk Hari 1 Coachella 2014 (VIDEO)
3870,Frankie Knuckles dies aged 59,Entertainment,Frankie Knuckles meninggal pada usia 59 tahun
8408,"Fiat shareholders vote in favor of Chrysler merger, shifting center of gravity from  ...",Economy,"Pemegang saham Fiat memberikan suara mendukung merger Chrysler, menggeser pusat gravitasi dari ..."
41597,Photo Release -- NASDAQ Welcomes Weibo Corporation (NASDAQ:WB) to The  ...,Economy,Rilis Foto -- NASDAQ Menyambut Weibo Corporation (NASDAQ:WB) ke ...
46481,Rowling resurrects Potter,Entertainment,Rowling membangkitkan Potter
48168,Twitch arrives on Xbox One as Titanfall crashes down,Technology,Twitch hadir di Xbox One saat Titanfall runtuh
65352,BREAKING: Inflation Falls to Four Year Low,Economy,BREAKING: Inflasi Turun ke Level Terendah dalam Empat Tahun
60264,Microsoft too late in bringing Office to iPad?,Technology,Microsoft terlambat menghadirkan Office ke iPad?
32976,LinkedIn shares rally as results beat estimates: Live blog recap,Economy,Saham LinkedIn menguat karena hasilnya melebihi perkiraan: Rekap blog langsung
64099,Beyonce & Jay Z After Solange Knowles Attack: 1st Appearance Since Fight Video,Entertainment,Beyonce & Jay Z Setelah Serangan Solange Knowles: Penampilan Pertama Sejak Video Pertarungan
22424,First Artwork for The Walking Dead Season 5 Arrives Early,Entertainment,Karya Seni Pertama untuk The Walking Dead Musim 5 Tiba Lebih Awal
10970,"Apple reports $45.6 billion revenue for Q2 2014: 43.7m iPhones, 16.3m iPads  ...",Technology,"Apple melaporkan pendapatan $45,6 miliar pada Q2 2014: 43,7 juta iPhone, 16,3 juta iPad ..."
31958,Heart Bleed OpenSSL Computer Virus Update: Security Bug Found by Google  ...,Technology,Pembaruan Virus Komputer OpenSSL Heart Bleed: Bug Keamanan Ditemukan oleh Google ...
45600,`Chief Yahoo` David Filo returns to board,Economy,`Chief Yahoo` David Filo kembali ke dewan
15912,UPDATE 2-'Shield' actor Michael Jace arrested for murder of wife,Entertainment,PEMBARUAN 2- Aktor 'Perisai' Michael Jace ditangkap karena pembunuhan istri
15411,Game of Thrones rape scene: George R. R. Martin says 'whole dynamic' was  ...,Entertainment,Adegan pemerkosaan Game of Thrones: George R. R. Martin mengatakan 'keseluruhan dinamika' adalah ...
50726,Amateur sleuths can now dive in to complete MH370 data,Economy,Detektif amatir kini dapat menyelam untuk melengkapi data MH370
45294,"Chris Brown, Justin Bieber granted delays in court dates",Entertainment,Chris Brown dan Justin Bieber mengabulkan penundaan tanggal persidangan
19393,Violence flares at QPR v Latics,Technology,Kekerasan berkobar di QPR v Latics
8197,VIDEO: Watch FROZEN Characters Dance to Michael Jackson Classic 'Thriller',Entertainment,VIDEO: Tonton Karakter FROZEN Menari 'Thriller' Klasik Michael Jackson
19384,"Chiquita, Ireland's Fyffes merge, become top banana supplier",Economy,"Chiquita, gabungan Fyffes Irlandia, menjadi pemasok pisang utama"
21886,Miley Cyrus Cracks Crass Date Rape Joke That's Anything But Funny (VIDEO),Entertainment,"Miley Cyrus Mengungkapkan Lelucon Kasar Tentang Pemerkosaan, Itu Sama Sekali Tapi Lucu (VIDEO)"
59774,Carmakers to build $1.4 billion Mexico plant,Technology,"Produsen mobil akan membangun pabrik di Meksiko senilai $1,4 miliar"
34268,Faster production brings Boeing $965M 1Q profit - KTVN Channel 2 - Reno  ...,Economy,Produksi yang lebih cepat menghasilkan keuntungan Boeing $965 juta pada 1Q - KTVN Channel 2 - Reno ...
11727,Robert De Niro opens up about the struggles of his gay father,Entertainment,Robert De Niro bercerita tentang perjuangan ayahnya yang gay
55020,Japan's Honda recalls more than 2m cars over airbag defect,Technology,Honda Jepang menarik kembali lebih dari 2 juta mobil karena cacat kantung udara
37205,Listen: More brand new Michael Jackson music hits the web,Entertainment,Dengarkan: Lebih banyak musik Michael Jackson baru yang beredar di web
49568,Water quality at NC beaches ranks among best,Economy,Kualitas air di pantai NC termasuk yang terbaik
28287,Zendaya out of Aaliyah film,Entertainment,Zendaya keluar dari film Aaliyah
48635,Amazon Earnings: A Sneak Peek,Entertainment,Penghasilan Amazon: Sekilas
59518,Obama issues dire warning on climate change,Technology,Obama mengeluarkan peringatan mengerikan mengenai perubahan iklim
37259,"T-Mobile, Sprint merger delayed: May not happen before September",Technology,"T-Mobile, merger Sprint tertunda: Mungkin tidak akan terjadi sebelum September"
14111,See Meryl Davis and Charlie White Kill It On <i>Dancing With the Stars</i>,Entertainment,Lihat Meryl Davis dan Charlie White Membunuhnya di <i>Dancing With the Stars</i>
35801,All the Running Gags We Want to See on the How I Met Your Mother Finale,Entertainment,Semua Lelucon Berjalan yang Ingin Kami Lihat di Final Bagaimana Aku Bertemu Ibumu
25310,Jet nearly collided with drone over Florida: FAA,Economy,Jet hampir bertabrakan dengan drone di Florida: FAA
47830,24-year-old woman Claire Leeson has spent thousands on plastic surgery and  ...,Entertainment,Wanita berusia 24 tahun Claire Leeson telah menghabiskan ribuan dolar untuk operasi plastik dan ...
59368,First Quarter GDP Plunge A Reminder Of Perilous Economy For Millions Of  ...,Economy,Penurunan PDB Kuartal Pertama Menjadi Pengingat Akan Bahayanya Perekonomian Bagi Jutaan ...
43364,It's a flame retardant and it's been in your Coke! Not for much longer,Economy,Itu tahan api dan sudah ada di Coke Anda! Tidak lebih lama lagi
40327,"Samsung Brings Galaxy S5, Wearable Devices to Nigeria With Promise",Technology,"Samsung Membawa Galaxy S5, Perangkat Wearable ke Nigeria Dengan Janji"
1243,RBI Open To Merger Of Banks: Rajan,Economy,RBI Terbuka Untuk Merger Bank: Rajan
12433,Transformers: Age of Extinction Has Biggest Opening Weekend of the Year,Entertainment,Transformers: Age of Extinction Memiliki Akhir Pekan Pembukaan Terbesar Tahun Ini
56195,Cast member Brooks Wheelan fired from 'SNL',Entertainment,Anggota pemeran Brooks Wheelan dipecat dari 'SNL'
8433,"Rapper Severs Penis, Jumps off Building in Apparent Suicide Attempt",Entertainment,"Rapper Memutuskan Penis, Melompat dari Gedung dalam Upaya Bunuh Diri"
7766,"At Easter, take heed of stirring of spirit",Entertainment,"Saat Paskah, perhatikan gejolak semangat"
9039,What's a beleaguered utility do when forced by the government to close its  ...,Economy,Apa yang dilakukan perusahaan utilitas yang terkepung ketika dipaksa oleh pemerintah untuk menutup...
17425,Beyonce Featured on Cover of TIME Magazine's '100 Most Influential People List',Entertainment,Beyonce Tampil di Sampul 'Daftar 100 Orang Paling Berpengaruh' Majalah TIME
3982,"Tesla Beats on Earnings and Revenue, and Everything Is on Schedule",Economy,"Tesla Mengalahkan Pendapatan dan Pendapatan, dan Semuanya Sesuai Jadwal"
44420,'Blood Moon' Lunar Eclipse Wows Skywatchers (PHOTOS),Technology,Gerhana Bulan 'Blood Moon' Memukau Pengamat Langit (FOTO)
9381,Stars come out for Peaches' funeral,Entertainment,Bintang-bintang muncul untuk pemakaman Peaches
18324,First Trailer from the new Peanuts Movie!,Entertainment,Trailer Pertama dari Film Peanuts baru!
40767,Coach sales drop as handbag market heats up,Economy,Penjualan Coach anjlok seiring memanasnya pasar tas tangan
47119,Stephen Colbert to Host 'The Late Show',Entertainment,Stephen Colbert Menjadi Pembawa Acara 'Pertunjukan Terlambat'
2621,"Kanye, Kim Recite Vows",Entertainment,"Kanye, Kim Ucapkan Sumpah"
57182,Fleetwood Mac Unveils Full Reunion Tour,Entertainment,Fleetwood Mac Meluncurkan Tur Reuni Penuh
14279,Selena Gomez Ended 'Toxic Friendship With Kendall And Kylie Jenner After  ...,Entertainment,Selena Gomez Mengakhiri 'Persahabatan Beracun Dengan Kendall Dan Kylie Jenner Setelah ...
62103,This Bravo TV Star Is Dating Richard Gere! Hot Hookup Details HERE!,Entertainment,Bintang TV Bravo Ini Berkencan dengan Richard Gere! Detail Hot Hookup DI SINI!
35767,Weibo (WB) Stock Rises After IPO,Economy,Saham Weibo (WB) Naik Setelah IPO
14282,Jolie and Pitt Might Be Working on Another Movie,Entertainment,Jolie dan Pitt Mungkin Sedang Mengerjakan Film Lain
49601,James Corden: One Direction have dealt with their mistakes much better than  ...,Entertainment,James Corden: One Direction telah mengatasi kesalahan mereka jauh lebih baik daripada ...
52533,Robert Downey Jr. shares first image from set of 'The Avengers: Age Of Ultron',Entertainment,Robert Downey Jr berbagi gambar pertama dari set 'The Avengers: Age Of Ultron'
59748,'Guardians Of The Galaxy',Entertainment,'Penjaga Galaksi'
59126,"Leaked 'Star Wars VII' footage fake, but fantastic",Entertainment,"Bocoran cuplikan 'Star Wars VII' palsu, tapi fantastis"
43272,Sister of L'Wren Scott to be barred from funeral of Sir Mick Jagger's girlfriend  ...,Entertainment,Adik L'Wren Scott dilarang menghadiri pemakaman pacar Sir Mick Jagger ...
42320,Unrest in Iraq drives up gas prices,Technology,Kerusuhan di Irak menaikkan harga gas
60637,Affordable Care Act advocates hope March 31 individual mandate sign-up date  ...,Economy,Pendukung Undang-Undang Perawatan Terjangkau berharap tanggal pendaftaran mandat individu 31 Maret ...
56220,Adobe Launches New 'Photoshop Mix' App for iPad,Economy,Adobe Meluncurkan Aplikasi 'Photoshop Mix' Baru untuk iPad
63351,European Union leaders react to election results,Economy,Para pemimpin Uni Eropa bereaksi terhadap hasil pemilu
61021,Microsoft challenges US on overseas data,Technology,Microsoft menantang AS terkait data luar negeri
38291,Another character bites it on 'True Blood',Entertainment,Karakter lain menggigitnya di 'True Blood'
32612,IRS Decision to Treat Virtual Currencies as Property is a Mixed Blessing,Economy,Keputusan IRS untuk Memperlakukan Mata Uang Virtual sebagai Properti adalah Berkah Campuran
4936,Waters: Majority of House Supports Renewing Export-Import Bank,Economy,Waters: Mayoritas DPR Dukung Pembaruan Bank Ekspor-Impor
61293,Mayor intentionally drops the F-Word after Stanley Cup Win,Entertainment,Walikota dengan sengaja menghilangkan F-Word setelah Kemenangan Piala Stanley
35159,"Fannie Mae, Freddie Mac: Johnson-Crapo First Loss Provision Analysis",Economy,"Fannie Mae, Freddie Mac: Analisis Provisi Kerugian Pertama Johnson-Crapo"
54805,Microsoft Xbox One game console rolls out in China in September,Technology,Konsol game Microsoft Xbox One diluncurkan di Cina pada bulan September
49973,Officials: Complacency drives hike in water use,Economy,Pejabat: Rasa berpuas diri mendorong peningkatan penggunaan air
1625,Royal Wedding Fever! Cressida Bonas And Prince Harry Engagement Rumours  ...,Entertainment,Demam Pernikahan Kerajaan! Rumor Pertunangan Cressida Bonas dan Pangeran Harry ...
46447,"Netflix, ARRIS stocks slide on Apple-Comcast rumours",Technology,"Netflix, saham ARRIS merosot karena rumor Apple-Comcast"
60079,New York college offering Sociology course on Miley Cyrus,Entertainment,Perguruan tinggi New York menawarkan kursus Sosiologi tentang Miley Cyrus
30160,"Recalls bring the company's total for the year to 48, covering more than 20  ...",Technology,"Penarikan kembali menjadikan total penarikan perusahaan pada tahun ini menjadi 48, mencakup lebih dari 20 ..."
62941,Zooey Deschanel Simply Stuns At The Met Gala!,Entertainment,Zooey Deschanel Tampil Terpesona di Met Gala!
34298,Indexes End Lower As Russia Sanctions Hit Stocks,Economy,Indeks Berakhir Lebih Rendah Karena Sanksi Rusia Menghantam Saham
11977,Miley Cyrus fans ambivalent over buying tickets again,Entertainment,Penggemar Miley Cyrus ragu untuk membeli tiket lagi
43274,"Etihad, Alitalia confirm equity stake sale",Economy,"Etihad, Alitalia mengkonfirmasi penjualan saham ekuitas"
15727,"Microsoft Surface Pro 3 Launched as iPad Air, MacBook Air Challenger",Technology,"Microsoft Surface Pro 3 Diluncurkan sebagai iPad Air, Penantang MacBook Air"
26797,Japanese pop group attacked by man with saw,Entertainment,Grup pop Jepang diserang oleh manusia dengan gergaji
47295,Malaysian tourism authority downplays MH370 disappearance,Economy,Otoritas pariwisata Malaysia meremehkan hilangnya MH370
5209,"China BANS Windows 8, blames Windows XP",Technology,"China LARANGAN Windows 8, salahkan Windows XP"
6137,"Microsoft earnings down, but above expectations",Economy,"Pendapatan Microsoft turun, tetapi di atas ekspektasi"
12498,"Apple awarded $119M, but who's winning the fight?",Technology,"Apple menghadiahkan $119 juta, tapi siapa yang memenangkan pertarungan?"
45783,Kim & Kanye Aren't The Only Ones! Most Expensive Celebrity Weddings,Entertainment,Kim & Kanye Bukan Satu-Satunya! Pernikahan Selebriti Termahal
1688,TiVo for People without Cable,Technology,TiVo untuk Orang tanpa Kabel
817,Goldman Turns Less Bearish On Tesla Motors – TSLA,Economy,Goldman Mengurangi Bearish Pada Tesla Motors – TSLA
62168,Daily Mail Apologise For Story Surrounding George Clooney's Marriage,Entertainment,Daily Mail Minta Maaf Atas Cerita Seputar Pernikahan George Clooney
31091,Samsung Wants To Use Google's Might To Battle Apple in Court,Technology,Samsung Ingin Menggunakan Kekuatan Google untuk Melawan Apple di Pengadilan
35017,Faith-based alternative to Fifty Shades Of Grey to put God deep inside you,Entertainment,Alternatif berbasis agama untuk Fifty Shades Of Grey untuk menempatkan Tuhan jauh di dalam diri Anda
25714,Ryan Lewis Asks Strangers What He Does,Entertainment,Ryan Lewis Bertanya kepada Orang Asing Apa yang Dia Lakukan
41505,F-35 Fighter Jet Fails to Debut at Farnborough Airshow Opening,Economy,Jet Tempur F-35 Gagal Debut di Pembukaan Farnborough Airshow
15103,Twitter celebrates eighth birthday with #FirstTweet tool,Technology,Twitter merayakan ulang tahun kedelapan dengan alat #FirstTweet
20997,Ford Profits Fall But Revenue Beats Expectations,Economy,Laba Ford Turun Tapi Pendapatan Mengalahkan Ekspektasi
16424,Christians prepare for their holiest day,Entertainment,Umat ​​​​Kristen bersiap untuk hari paling suci mereka
50033,Confirmed: Jason Momoa Will Play Aquaman in Batman v Superman: Dawn of  ...,Entertainment,Dikonfirmasi: Jason Momoa Akan Memainkan Aquaman di Batman v Superman: Dawn of ...
56008,Apple poaches another luxury executive as iWatch nears,Technology,Apple memburu eksekutif mewah lainnya saat iWatch semakin dekat
30567,"Mortgage Rate Improvement Today at Citibank, Wells Fargo Jun 28, 2014",Economy,"Perbaikan Suku Bunga Hipotek Hari Ini di Citibank, Wells Fargo 28 Juni 2014"
21967,The Walking Dead: Rick Grimes is back,Entertainment,Orang Mati Berjalan: Rick Grimes kembali
29921,"US employers add 209K jobs in July, black unemployment rate rises slightly",Economy,"Pengusaha di AS menambah 209 ribu pekerjaan di bulan Juli, tingkat pengangguran kulit hitam sedikit meningkat"
49396,VIDEO Chris Brown ordered to stay in jail until April 23,Entertainment,VIDEO Chris Brown diperintahkan untuk tetap di penjara hingga 23 April
20976,Posted by Shoaib-ur-Rehman Siddiqui,Economy,Diposting oleh Shoaib-ur-Rehman Siddiqui
60051,US Federal Reserve slows bond buying,Economy,Federal Reserve AS memperlambat pembelian obligasi
43679,Bombay Bicycle Club & diss 'bizarre' One Direction & Netmums address Zayn  ...,Entertainment,Klub Sepeda Bombay & hina One Direction & Netmum yang 'aneh' alamat Zayn ...
18897,Guard trampled at Ultra Fest in Miami has serious injuries,Entertainment,Penjaga yang terinjak-injak di Ultra Fest di Miami mengalami luka serius
41248,Chris Harrison: Don't Hold Your Breath For A Gay Or Chubby Bachelor,Entertainment,Chris Harrison: Jangan Menahan Nafas Untuk Sarjana Gay atau Gemuk
31122,Netflix raises new member monthly fee by $1,Technology,Netflix menaikkan biaya bulanan anggota baru sebesar $1
51642,Freebies for Tax Day 2014!,Economy,Gratis untuk Hari Pajak 2014!
20436,Dow Jones Industrial Average Closes Above 17000 for the First Time Ever After  ...,Economy,Dow Jones Industrial Average Ditutup Di Atas 17000 untuk Pertama Kalinya ...
48735,Craig Ferguson to leave 'Late Late Show' at end of 2014,Entertainment,Craig Ferguson akan meninggalkan 'Late Late Show' pada akhir tahun 2014
17024,Google Buys Startup Behind Visual Translation App Word Lens,Technology,Google Membeli Startup di Balik Aplikasi Terjemahan Visual Word Lens
61460,"Bing implements 'right to be forgotten' ruling, asks applicants 'are you famous?'",Technology,"Bing menerapkan keputusan 'hak untuk dilupakan', menanyakan pelamar 'apakah Anda terkenal?'"
40417,Holy Chic! Alexander Wang Announces Collaboration With H&M (DETAILS),Entertainment,Cantik Suci! Alexander Wang Umumkan Kolaborasi Dengan H&M (DETAIL)
1506,Twitter restores TweetDeck after security flaw,Technology,Twitter memulihkan TweetDeck setelah kelemahan keamanan
7378,"From Sexercise to Andy Cohen, the 6 Stages of Lady Gaga's 'G.U.Y.' Video",Entertainment,"Dari Sexercise hingga Andy Cohen, 6 Panggung 'G.U.Y.' Lady Gaga Video"
24888,One Bidder Walks Away with All of the Bitcoins from the Feds' Silk Road Auction,Economy,Seorang Penawar Meninggalkan Semua Bitcoin dari Lelang Jalur Sutra FBI
61716,Mila Kunis Pregnant: 'Jupiter Ascending' Actress Glows on the CinemaCon Red  ...,Entertainment,Mila Kunis Hamil: Aktris 'Jupiter Ascending' Bersinar di CinemaCon Merah ...
6707,Loose 'Brick Mansions' is split by too many cracks,Entertainment,'Brick Mansions' yang longgar terbelah karena terlalu banyak retakan
58303,He's Here! Smithsonian's New T. Rex Arrives,Technology,Dia di sini! T. Rex Baru Smithsonian Tiba
62395,Maryland Votes To Adopt CT Health Exchange System,Economy,Maryland Memilih Untuk Mengadopsi Sistem Pertukaran Kesehatan CT
47378,Nicki Minaj vs. Iggy Azalea! Video Of BET Awards Speech Slams Rappers Who  ...,Entertainment,Nicki Minaj vs Iggy Azalea! Video Pidato BET Awards Kecam Rapper Yang ...
40014,"Facebook Adding Nearby Friends Feature To Apps For IPhone, Android",Technology,"Facebook Menambahkan Fitur Teman Terdekat Ke Aplikasi Untuk IPhone, Android"
7853,Corn waste fuel 'not better than petrol',Economy,Bahan bakar limbah jagung 'tidak lebih baik dari bensin'
33162,Apple Reportedly Plans to Introduce Wearable Device on Sept. 9,Technology,Apple Dikabarkan Berencana Memperkenalkan Perangkat Wearable pada 9 September
15425,Sara Gilbert and Linda Perry Tie The Knot In Secret Oceanfront Wedding,Entertainment,Sara Gilbert dan Linda Perry Menikah Secara Rahasia di Tepi Laut
34835,How to save big bucks on Office 365,Technology,Bagaimana cara menghemat banyak uang di Office 365
1662,'The Powerpuff Girls' to return to Cartoon Network,Entertainment,'The Powerpuff Girls' akan kembali ke Cartoon Network
61418,Toby Kebbell Chosen for Dr. Doom Role in Fox's New 'Fantastic Four',Entertainment,Toby Kebbell Terpilih untuk Peran Dr. Doom di 'Fantastic Four' Baru Fox
22383,Kim Kardashian Spending One Month In Paris To Plan Her Wedding,Entertainment,Kim Kardashian Menghabiskan Satu Bulan Di Paris Untuk Merencanakan Pernikahannya
1750,UnitedHealth Group Trading Up 3.7% After Better-Than-Expected Earnings (UNH),Economy,"UnitedHealth Group Trading Naik 3,7% Setelah Pendapatan Lebih Baik Dari Perkiraan (UNH)"
42341,Google's latest tablet will capture images in 3D,Technology,Tablet terbaru Google akan menangkap gambar dalam 3D
61473,Hayden Panettiere Confirms She's Having A Girl!,Entertainment,Hayden Panettiere Konfirmasi Dia Punya Anak Perempuan!
33625,Texas huntress stirs controversy with photos of African kills,Entertainment,Pemburu wanita Texas menimbulkan kontroversi dengan foto-foto pembunuhan di Afrika
20217,EU widens tax investigation into multinationals: source,Economy,UE memperluas penyelidikan pajak ke perusahaan multinasional: sumber
18386,Idina Menzel Name Flub Righted by John Travolta's Flower Delivery (Video),Entertainment,Idina Menzel Nama Flub Dibenarkan oleh Pengiriman Bunga John Travolta (Video)
41960,Amazon bullies publishers as work on its informational dystopia continues,Technology,Amazon menindas penerbit ketika upaya mengatasi distopia informasionalnya terus berlanjut
59297,Theron: I gave McGregor film job,Entertainment,Theron: Saya memberi McGregor pekerjaan film
22218,'Draft' a bit predictable,Entertainment,'Draf' agak mudah ditebak
47335,Garth Brooks cancellation is a disaster for Dublin and decency,Entertainment,Pembatalan Garth Brooks adalah bencana bagi Dublin dan kesopanan
58712,Google Glass banned in UK cinemas,Technology,Google Glass dilarang di bioskop Inggris
43594,Samsung Profits Dip by 25 Percent,Economy,Keuntungan Samsung Turun 25 Persen
28829,Smart Talk: Beyond the challenge -- what to know about ALS,Entertainment,Pembicaraan Cerdas: Melampaui tantangan -- apa yang perlu diketahui tentang ALS
43002,Kanye West: People Didn't Understand His Interracial Relationship,Entertainment,Kanye West: Orang Tidak Memahami Hubungan Antar Rasnya
45313,Verizon and AT&T Argue Over Wireless Auction Rules with FCC,Technology,Verizon dan AT&T Berdebat Tentang Aturan Lelang Nirkabel dengan FCC
18709,Target boss is finally OUT five months after hackers hit 70 million customers,Economy,Bos target akhirnya KELUAR lima bulan setelah peretas mencapai 70 juta pelanggan
13714,Memorable Billboard moments,Entertainment,Momen Billboard yang tak terlupakan
49822,iPhone 6 vs. Samsung Galaxy S5: Specs Comparison,Technology,iPhone 6 vs. Samsung Galaxy S5: Perbandingan Spesifikasi
27361,Why Is Lindsay Lohan Wearing a Tacky Wedding Dress?,Entertainment,Mengapa Lindsay Lohan Mengenakan Gaun Pengantin yang Norak?
63982,Danica McKellar and Val Chmerkovskiy – Cha Cha – Dancing with the Stars 18  ...,Entertainment,Danica McKellar dan Val Chmerkovskiy – Cha Cha – Menari dengan Bintang 18 ...
47120,Justin Bieber Detained For Questioning At LAX,Entertainment,Justin Bieber Ditahan Untuk Diinterogasi Di LAX
2384,Georgia authorities plan heightened alerts for BUIs heading into July 4th with  ...,Technology,Pihak berwenang Georgia merencanakan peningkatan peringatan untuk BUI menjelang tanggal 4 Juli dengan ...
19504,Microsoft Games Studios' Phil Spencer Now Leading Xbox Team,Technology,Phil Spencer dari Microsoft Games Studios Sekarang Memimpin Tim Xbox
25038,Beyonce & Jay Z Reportedly Plotting Joint Summer Tour,Entertainment,Beyonce & Jay Z Dikabarkan Merencanakan Tur Musim Panas Bersama
