No,News Title,Category,News Title Indonesia
47225,MIAMI CITY OFFICIALS CALL FOR ULTRA MUSIC FESTIVAL TO BE MOVED  ...,Entertainment,PEJABAT KOTA MIAMI Himbau agar ULTRA MUSIC FESTIVAL DIGERAKKAN ...
49095,"Samsung against Apple: Intelligent marketing, not theft, made us leader",Technology,"Samsung melawan Apple: Pemasaran yang cerdas, bukan pencurian, menjadikan kami pemimpin"
44555,Priceline books $2.6 bn OpenTable deal,Economy,"Priceline membukukan kesepakatan OpenTable senilai $2,6 miliar"
40614,Chris Brown sends 'special' message to girlfriend from jail,Entertainment,Chris Brown mengirimkan pesan 'khusus' kepada pacarnya dari penjara
36160,The Unreleased Film Noah is Already Banned!,Entertainment,Film Noah yang Belum Dirilis Sudah Dilarang!
54139,"Gordon Willis, 'Godfather,' 'Annie Hall' cinematographer, dies at 82",Entertainment,"Gordon Willis, sinematografer 'Godfather', 'Annie Hall', meninggal pada usia 82 tahun"
15201,Teen singer Zendaya pulls out of Aaliyah biopic,Entertainment,Penyanyi remaja Zendaya menarik diri dari film biografi Aaliyah
57232,"'Breaking Bad' Emmy Awards 2014: Series Wins Best Drama, Cranston, Paul  ...",Entertainment,"'Breaking Bad' Emmy Awards 2014: Serial Memenangkan Drama Terbaik, Cranston, Paul ..."
31260,General Motors Company (GM) recalls over 500000 Chevrolet Camaro cars,Technology,General Motors Company (GM) menarik kembali lebih dari 500.000 mobil Chevrolet Camaro
22126,'Star Wars 7' Won't Keep Adam Driver From Shooting 'Girls' Season 4,Entertainment,'Star Wars 7' Tidak Akan Menghalangi Adam Driver Dari Syuting 'Girls' Musim 4
26467,The Walking Dead Pool Final Round: Who Will Die at Terminus?,Entertainment,Babak Final The Walking Dead Pool: Siapa yang Akan Mati di Terminus?
55320,One Direction Says Marijuana Smoking Video Of Zayn Malik and Louis  ...,Entertainment,One Direction Sebut Video Asap Ganja Zayn Malik dan Louis ...
28035,Actor Eli Wallach dies at age 98,Entertainment,Aktor Eli Wallach meninggal pada usia 98 tahun
57620,How Big Is That Titanosaur They Found In Argentina? Compare It With These  ...,Technology,Seberapa Besar Titanosaurus yang Mereka Temukan di Argentina? Bandingkan Dengan Ini...
9336,"Google's Q1 Revenue Misses Target, Shares Down by 5.7 Percent",Economy,"Pendapatan Google Kuartal 1 Meleset dari Target, Saham Turun 5,7 Persen"
55001,GM suspends sales of Chevy Cruzes,Technology,GM menangguhkan penjualan Chevy Cruzes
40121,"PlayStation 4 leads hardware sales in March, Titanfall top game",Technology,"PlayStation 4 memimpin penjualan perangkat keras pada bulan Maret, game teratas Titanfall"
20861,"New floating objects seen, but still no evidence of lost jet",Economy,"Benda mengambang baru terlihat, namun masih belum ada bukti hilangnya jet"
269,Phil Collins is Alamo fanatic,Entertainment,Phil Collins adalah seorang fanatik Alamo
6335,"Colin Pillinger, space scientist behind Beagle 2 Mars probe, dies at 70 | The  ...",Technology,"Colin Pillinger, ilmuwan luar angkasa di balik penyelidikan Beagle 2 Mars, meninggal pada usia 70 | ..."
45821,What you need to know before markets open,Economy,Apa yang perlu Anda ketahui sebelum pasar dibuka
3656,Toys R Us: Nothing prepared us for how big Skylanders became,Technology,Toys R Us: Tidak ada yang mempersiapkan kami untuk melihat betapa besarnya Skylanders
53167,Gwen Stefani to coach 'The Voice' next season in Christina Aguilera's seat,Entertainment,Gwen Stefani akan melatih 'The Voice' musim depan di kursi Christina Aguilera
48838,True Blood And More Added To Amazon Prime Instant Video,Entertainment,True Blood Dan Lainnya Ditambahkan ke Video Instan Amazon Prime
24631,UPDATE 1-GM says ignition switch linked to recall made in China,Technology,PEMBARUAN 1-GM mengatakan sakelar pengapian terkait dengan penarikan kembali buatan China
35332,Zac Efron: 'A weight has been lifted after talking about substance abuse issues',Entertainment,Zac Efron: 'Beban telah terangkat setelah membicarakan masalah penyalahgunaan narkoba'
3978,What Google Glass Can't See,Technology,Apa yang Tidak Dapat Dilihat oleh Google Glass
36434,Nintendo faces incredible losses this year,Technology,Nintendo menghadapi kerugian luar biasa tahun ini
34981,Billy Dee Williams drops out of 'Dancing with the Stars',Entertainment,Billy Dee Williams keluar dari 'Dancing with the Stars'
2974,UPDATED: Three arrested outside Taylor Swift's Rhode Island house,Entertainment,DIPERBARUI: Tiga orang ditangkap di luar rumah Taylor Swift di Rhode Island
22656,Apple snaps up Beats for $3 billion,Technology,Apple membeli Beats seharga $3 miliar
43810,Bank of America to Pay $9.5 Billion to Resolve FHFA Claims,Economy,"Bank of America Akan Membayar $9,5 Miliar untuk Menyelesaikan Klaim FHFA"
33299,Barclays enlists outside help in dark pools probe,Economy,Barclays meminta bantuan dari luar dalam penyelidikan kolam gelap
63489,Gap's 1st quarter net income declines 22%,Economy,Laba bersih kuartal pertama Gap turun 22%
3631,Reel Critics: 'Winter Soldier' a spring treat,Entertainment,Reel Critics: 'Winter Soldier' ​​adalah suguhan musim semi
3697,What celebrity divorces tell us about 'having it all',Entertainment,Apa yang disampaikan oleh perceraian selebriti kepada kita tentang 'memiliki segalanya'
17204,Mick Jagger slammed by L'Wren Scott's sister for 'grotesquely disrespectful' antics,Entertainment,Mick Jagger dikecam oleh saudara perempuan L'Wren Scott karena kelakuannya yang 'sangat tidak sopan'
11469,Coen brothers' 'Fargo' comes to television,Entertainment,'Fargo' Coen bersaudara hadir di televisi
27166,LIVE REVIEW: Miley Cyrus Back With A Bang As Shocking Bangerz Tour Hits  ...,Entertainment,TINJAUAN LANGSUNG: Miley Cyrus Kembali Dengan Kejutan Saat Tur Bangerz yang Mengejutkan ...
26841,CFPUA - Area drinking water unaffected by coal ash spill,Economy,CFPUA - Area air minum yang tidak terkena dampak tumpahan abu batubara
5976,Where to buy Samsung Galaxy S5: Galaxy S5 price and UK best deals for  ...,Technology,Tempat Membeli Samsung Galaxy S5: Harga Galaxy S5 dan Tawaran Terbaik Inggris untuk ...
12920,"Apple, IBM put aside differences with landmark deal",Technology,Apple dan IBM mengesampingkan perbedaan dengan kesepakatan penting
39285,"Wal-Mart slumps, Penney recovers in first quarter",Economy,"Wal-Mart merosot, Penney pulih di kuartal pertama"
4897,'Heaven Is For Real' Movie Review Roundup: Mixed Reaction From Christian  ...,Entertainment,Rangkuman Review Film 'Heaven Is For Real': Reaksi Campuran dari Christian ...
45553,Preventing another Flight MH370: Airplanes to be fitted with remote black boxes  ...,Economy,Mencegah Penerbangan MH370 terulang: Pesawat akan dilengkapi dengan kotak hitam jarak jauh ...
32342,Samsung launches Galaxy S5 and Wearable series in India,Technology,Samsung meluncurkan seri Galaxy S5 dan Wearable di India
23705,X-Men' filmmaker slams 'fabricated' sex attack claims,Entertainment,Pembuat film X-Men mengecam klaim serangan seks yang 'dibuat-buat'
55599,Apple has another crack at a product ban,Technology,Apple memiliki celah lain dalam pelarangan produk
57313,Video: True Blood final season trailer,Entertainment,Video: Trailer musim terakhir True Blood
7781,US firm still in pursuit of Shire,Economy,Perusahaan AS masih mengejar Shire
38487,EFF urges road safety over Easter,Entertainment,EFF mendesak keselamatan jalan raya selama Paskah
37734,BlackRock to prepare firm for Fink exit,Economy,BlackRock akan mempersiapkan perusahaan untuk keluarnya Fink
37120,CBS renews 'Big Bang' through 2016-17 season,Entertainment,CBS memperbarui 'Big Bang' hingga musim 2016-17
28478,"Marijuana tax revenues hit $3.5 million in January, Denver takes in nearly $1  ...",Economy,"Pendapatan pajak ganja mencapai $3,5 juta pada bulan Januari, Denver menerima hampir $1 ..."
20445,Lamar Odom and Khloe Kardashian Divorce Update: Khloe Has Never Felt as  ...,Entertainment,Pembaruan Perceraian Lamar Odom dan Khloe Kardashian: Khloe Tidak Pernah Merasa ...
6615,Justin Bieber apologizes for racist joke controversy,Entertainment,Justin Bieber meminta maaf atas kontroversi lelucon rasis
21885,The 2014 CFDA Fashion Awards Winners and More!,Entertainment,Pemenang CFDA Fashion Awards 2014 dan Banyak Lagi!
6949,Science fiction teen drama never really takes off,Entertainment,Drama remaja fiksi ilmiah tidak pernah benar-benar populer
17044,More women choosing to be stay-at-home moms,Economy,Semakin banyak perempuan yang memilih menjadi ibu rumah tangga
22092,Edgar Wright no longer directing Marvel Studios' Ant-Man,Entertainment,Edgar Wright tidak lagi mengarahkan Ant-Man dari Marvel Studios
49322,Fast and Furious 7: Paul Walker body doubles may be used to finish film,Entertainment,Fast and Furious 7: Tubuh ganda Paul Walker dapat digunakan untuk menyelesaikan film
58658,Drake will not perform at the Wireless Festival this weekend,Entertainment,Drake tidak akan tampil di Wireless Festival akhir pekan ini
20529,"Ancient 'spider' went one better than a pair of eyes, researchers find. Call it 'four  ...",Technology,"'Laba-laba' zaman dahulu lebih baik daripada sepasang mata, demikian temuan para peneliti. Sebut saja 'empat ..."
44835,Microsoft XP support end Tuesday,Technology,Dukungan Microsoft XP berakhir Selasa
25114,Meet Kryptodrakon: Oldest Known Pterodactyl Found in China,Technology,Temui Kryptodrakon: Pterodactyl Tertua yang Diketahui Ditemukan di Tiongkok
32878,Parrot Bebop Drone vs AR.Drone 2: What's Changed?,Technology,Parrot Bebop Drone vs AR.Drone 2: Apa yang Berubah?
15555,Apple might be about to strike its biggest deal ever…with Dr. Dre,Economy,Apple mungkin akan mencapai kesepakatan terbesarnya…dengan Dr. Dre
65320,US STOCKS SNAPSHOT-Wall St opens flat with data on tap,Economy,SNAPSHOT SAHAM AS-Wall St dibuka datar dengan data tersedia
18581,Samsung touts process to commercialize graphene,Technology,Samsung menggembar-gemborkan proses untuk mengkomersialkan graphene
26454,US Dragon spacecraft arrives at space station: NASA,Technology,Pesawat luar angkasa US Dragon tiba di stasiun luar angkasa: NASA
3258,Jonah Hill Apologizes for Homophobic Slur: 'It's Heartbreaking For Me',Entertainment,Jonah Hill Meminta Maaf atas Penghinaan Homofobik: 'Ini Memilukan Bagi Saya'
37628,The article requested cannot be found! Please refresh your browser or go back  ...,Entertainment,Artikel yang diminta tidak dapat ditemukan! Silakan segarkan browser Anda atau kembali ...
37369,How the Dow Jones industrial average did Monday,Economy,Bagaimana kinerja rata-rata industri Dow Jones pada hari Senin
176,UnitedHealth Group PT Raised to $91.00 at Cowen and Company (UNH),Economy,"UnitedHealth Group PT Dikumpulkan menjadi $91,00 di Cowen and Company (UNH)"
19492,Advice for Cressida Bonas,Entertainment,Nasihat untuk Cressida Bonas
50429,EBay asks users to change their passwords after cyber-attack,Technology,EBay meminta pengguna untuk mengubah kata sandi mereka setelah serangan siber
59287,Controversial American Apparel CEO fired: Founder who faced NINE sexual  ...,Economy,CEO Pakaian Amerika yang Kontroversial dipecat: Pendiri yang menghadapi SEMBILAN ...
42292,Justin Bieber 'takes Selena Gomez's frenemy Kendall Jenner to sushi dinner,Entertainment,"Justin Bieber 'mengajak musuh Selena Gomez, Kendall Jenner, untuk makan malam sushi"
63490,B&Q Owner Sees Bright Future,Economy,Pemilik B&Q Melihat Masa Depan Cerah
34069,Christian rapper Flame sues Katy Perry for allegedly ripping-off 'Dark Horse' song,Entertainment,Rapper Kristen Flame menggugat Katy Perry karena diduga meniru lagu 'Dark Horse'
7036,White House looking for new ways to penetrate polarized media,Technology,Gedung Putih mencari cara baru untuk menembus media yang terpolarisasi
11832,Movie Review: 'Jump Street' repeats itself for laughs,Entertainment,Ulasan Film: 'Jump Street' berulang untuk ditertawakan
52977,Box Office: 'Heaven Is for Real' Amasses $3.7 Mil on Wednesday,Entertainment,"Box Office: 'Surga Itu Nyata' Mengumpulkan $3,7 Juta pada hari Rabu""."
44258,Nissan April-June net profit jumps 37% to $1.1 bn,Economy,"Laba bersih Nissan April-Juni melonjak 37% menjadi $1,1 miliar"
10711,Robert De Niro to Join Robert Pattinson in Olivier Assayas' IDOL'S EYE,Entertainment,Robert De Niro Akan Bergabung dengan Robert Pattinson di IDOL'S EYE karya Olivier Assayas
64356,iLathys to launch TubeTrackr at VidCon,Technology,iLathys akan meluncurkan TubeTrackr di VidCon
32526,BNP Paribas can absorb US fine without cash call: CEO Jean-Laurent Bonnafe,Economy,BNP Paribas dapat menerima denda AS tanpa uang tunai: CEO Jean-Laurent Bonnafe
38385,Graco recalls 1.9M infant car seats following government pressure,Technology,"Graco menarik kembali 1,9 juta kursi mobil bayi karena adanya tekanan dari pemerintah"
55438,"US agrees to «fairer» penalty on BNP Paribas, French minister says",Economy,"AS menyetujui hukuman yang “lebih adil” terhadap BNP Paribas, kata menteri Perancis"
19717,Russia vows to cut gas supply to Ukraine,Economy,Rusia berjanji akan mengurangi pasokan gas ke Ukraina
40935,"Poet, writer Maya Angelou dead at 86",Entertainment,"Penyair, penulis Maya Angelou meninggal pada usia 86 tahun"
39036,"Tesla Motors Inc. (NASDAQ:TSLA) Tumbled, Priceline Group Inc. (NASDAQ  ...",Economy,"Tesla Motors Inc. (NASDAQ:TSLA) Jatuh, Priceline Group Inc. (NASDAQ ..."
63134,Whitbread cashes in on strong hotel market in Q1 – UPDATE,Economy,Whitbread memanfaatkan pasar hotel yang kuat di Q1 – UPDATE
52083,Ryanair to remove 'hidden' opt out from travel insurance menu,Economy,Ryanair akan menghapus pilihan keluar 'tersembunyi' dari menu asuransi perjalanan
35313,Men's Wearhouse Finally Successful In Acquiring Jos. A. Bank,Economy,Men's Wearhouse Akhirnya Berhasil Mengakuisisi Jos.A.Bank
33867,'Game Of Thrones' premiere crashes HBO Go,Entertainment,Penayangan perdana 'Game Of Thrones' membuat HBO Go mogok
60902,Fed Unclear About Rate Increases,Economy,Fed Tidak Jelas Tentang Kenaikan Suku Bunga
4162,Kathleen Sebelius may have lied about paid Obamacare enrollments,Economy,Kathleen Sebelius mungkin berbohong tentang biaya pendaftaran Obamacare
38742,Powerful 4th Of July Spot For DAWN OF THE PLANET OF THE APES,Entertainment,Tempat Tanggal 4 Juli yang Dahsyat Untuk DAWN OF THE PLANET OF THE APES
54701,People's 2014 Most Beautiful Woman of the Year Is...,Entertainment,Wanita Tercantik Tahun 2014 versi Rakyat Adalah...
359,"Delta Shrugs Off Bad Weather, Cites Strong Q1 Passenger Demand DAL",Economy,"Delta Mengabaikan Cuaca Buruk, Mengutip Tingginya Permintaan Penumpang Q1 DAL"
28647,"Ruby Dee, legendary actress and wife of civil rights leader Ossie Davis, dead at 91",Entertainment,"Ruby Dee, aktris legendaris dan istri pemimpin hak-hak sipil Ossie Davis, meninggal pada usia 91 tahun"
5961,UK 'must lead climate change fight',Technology,Inggris 'harus memimpin perjuangan perubahan iklim'
28002,Italy service sector PMI returns to growth in April: Poll,Economy,PMI sektor jasa Italia kembali tumbuh pada bulan April: Jajak Pendapat
57153,"Apple, Google Bury the Hatchet",Technology,"Apple, Google Mengubur Kapak"
58193,Demi Lovato Is Decked Out In Denim On The Cover Of The 'Seventeen',Entertainment,Demi Lovato Mengenakan Denim Di Sampul 'Seventeen'
65299,"Networks Give Obama Megaphone to Push Climate Change Alarmism, Dismiss  ...",Technology,"Jaringan Memberikan Obama Megafon untuk Mendorong Alarmisme Perubahan Iklim, Menolak ..."
44489,Unemployment among black Americans twice that among whites,Economy,Pengangguran di kalangan warga kulit hitam Amerika dua kali lipat dibandingkan pengangguran di kalangan warga kulit putih
6091,Why This Beloved Character Didn't Make It In 'Veronica Mars',Entertainment,Mengapa Karakter Tercinta Ini Tidak Berhasil di 'Veronica Mars'
41397,Lost Cash album shows love for good songs,Entertainment,Album Lost Cash menunjukkan kecintaan pada lagu-lagu bagus
41304,Having Faith In Apple+Beats,Technology,Memiliki Keyakinan Pada Apple+Beats
34187,"Options, implications in wake of Supreme Court ruling against TV-over-Internet  ...",Technology,"Opsi, implikasi setelah keputusan Mahkamah Agung yang melarang TV-over-Internet ..."
1529,California commissioner keeps up fight for health rate authority,Economy,Komisaris California terus memperjuangkan otoritas tingkat kesehatan
43347,VIDEO: Texas Man Connected To Target's Massive Data Breach,Economy,VIDEO: Pria Texas Terhubung dengan Pelanggaran Data Besar-besaran Target
41531,Coldwater Creek store at Kent Station to close,Economy,Toko Coldwater Creek di Stasiun Kent akan tutup
54689,Angelina Jolie says won't change security on red carpet post Brad Pitt attack,Entertainment,Angelina Jolie mengatakan tidak akan mengubah keamanan di karpet merah pasca serangan Brad Pitt
34880,Songwriter Jesse Winchester Dies,Entertainment,Penulis Lagu Jesse Winchester Meninggal
21959,Why iPhone 6 will be 'mother lode' of upgrades: ISI analyst,Technology,Mengapa iPhone 6 akan menjadi 'induk dari' peningkatan: analis ISI
50194,"Kate Middleton, Duchess Of Cambridge, Casual In Stripes With Prince George  ...",Entertainment,"Kate Middleton, Duchess Of Cambridge, Santai Bergaris-garis Bersama Pangeran George ..."
9856,Ancient flying bird with 24-foot wingspan sets record for size,Technology,Burung terbang purba dengan lebar sayap 24 kaki memecahkan rekor ukuran
24164,IBM to Spend $3 Billion on Chip Development,Economy,IBM Akan Menghabiskan $3 Miliar untuk Pengembangan Chip
60959,'Winter Sleep' Turkish Film Wins,Entertainment,Film Turki 'Winter Sleep' Menang
23579,Carbon Satellite 3,Technology,Satelit Karbon 3
27816,"China retaliates, nixes Windows 8 on government PCs",Technology,"Tiongkok membalas, menghapuskan Windows 8 pada PC pemerintah"
35059,"Movie review: Muppets Most Wanted is all felt, no heartfelt (with video)",Entertainment,"Review Film: Muppets Most Wanted semuanya terasa, tidak menyentuh hati (dengan video)"
48891,Youth theater putting lots of kids in the spotlight,Economy,Teater remaja menempatkan banyak anak-anak dalam sorotan
10172,'Guardians' rallies summer box office with $11.2 million opening night,Entertainment,"'Guardians' meraih box office musim panas dengan $11,2 juta pada malam pembukaan"
18155,Rubio says humans aren't behind climate change,Technology,Rubio mengatakan manusia bukanlah dalang di balik perubahan iklim
22461,"In 'The Purge: Anarchy,' the blood flows with a strong message: 3 stars",Entertainment,"Dalam 'The Purge: Anarchy', darah mengalir dengan pesan yang kuat: 3 bintang"
38099,"HP appoints CEO Whitman chairman, expands board",Economy,HP menunjuk CEO Whitman sebagai ketua dan memperluas dewan direksi
54979,Google CEO Larry Page Wants Less Hour Workweek for Everyone,Technology,CEO Google Larry Page Ingin Lebih Sedikit Jam Kerja dalam Sepekan untuk Semua Orang
23817,"JJ Abrams: Appear in 'Star Wars,' just $10 a try",Entertainment,"JJ Abrams: Tampil di 'Star Wars', hanya $10 sekali coba"
40733,The OutKast Dictionary: 38 Terms You Should Know for the Duo's Reunion,Entertainment,Kamus OutKast: 38 Istilah yang Harus Anda Ketahui untuk Reuni Duo
42518,ECB leaves interest rates unchanged,Economy,ECB membiarkan suku bunga tidak berubah
48846,Emma Roberts reveals horror fears,Entertainment,Emma Roberts mengungkapkan ketakutannya akan kengerian
5301,The Boy Who Lived Is Now 33 Years Old,Entertainment,Anak Laki-Laki Yang Hidup Kini Berusia 33 Tahun
6696,Christine McVie reveals she quit Fleetwood Mac due to 'fear of flying',Entertainment,Christine McVie mengungkapkan dia keluar dari Fleetwood Mac karena 'takut terbang'
5023,Samsung losing its lustre as Apple readies iPhone 6,Technology,Samsung kehilangan kilaunya saat Apple menyiapkan iPhone 6
53381,How I Met Your Mother finale recap: One last grand gesture,Entertainment,Rekap akhir How I Met Your Mother: Satu gerakan besar terakhir
7967,Visionary or plain crazy? Zuckerberg's $2 billion Oculus buyout splits world view,Technology,Visioner atau gila? Pembelian Oculus senilai $2 miliar oleh Zuckerberg memecah pandangan dunia
9394,The Best Monetary Policy Is Strict Financial Regulation,Economy,Kebijakan Moneter Terbaik Adalah Regulasi Keuangan Yang Ketat
8721,Tracy Morgan - Tracy Morgan is 'doing better' after crash,Entertainment,Tracy Morgan - Tracy Morgan 'melakukan lebih baik' setelah kecelakaan
16587,Climate mitigation report: Key findings,Technology,Laporan mitigasi iklim: Temuan-temuan utama
912,"Final fed climate report will present dire picture - Fox29 WFLX TV, West Palm  ...",Technology,"Laporan akhir iklim The Fed akan menyajikan gambaran yang mengerikan - Fox29 WFLX TV, West Palm ..."
34309,Disney filed a patent for 'blimp-sized' puppets controlled by drones. But that  ...,Economy,Disney mengajukan paten untuk boneka 'seukuran balon udara' yang dikendalikan oleh drone. Tapi itu...
42122,Is Zuckerberg Nuts To Spend $2B on Oculus VR?,Technology,Apakah Zuckerberg Gila Menghabiskan $2 Miliar untuk Oculus VR?
59772,"Kim, Kanye marry in romantic Florence",Entertainment,"Kim, Kanye menikah di Florence yang romantis"
2082,Insights from Tim Berners-Lee AMA On WWW's 25th Birthday,Technology,Wawasan dari Tim Berners-Lee AMA Pada Ulang Tahun ke-25 WWW
6326,LIVE: Janet Yellen Explains The Fed Decision,Economy,LANGSUNG: Janet Yellen Menjelaskan Keputusan Fed
38207,'This is the largest scam of its kind that we have ever seen',Economy,'Ini adalah penipuan terbesar yang pernah kami lihat'
62575,Angelina Jolie Prepared for 'Maleficent' with Yoga,Entertainment,Angelina Jolie Bersiap untuk 'Maleficent' dengan Yoga
42505,Download Microsoft Office Suite for Apple iPad,Technology,Unduh Microsoft Office Suite untuk Apple iPad
18841,Review: 'Oathkeeper' Makes Stalling for Time Look Good in 'Game of Thrones  ...,Entertainment,Ulasan: 'Oathkeeper' Membuat Mengulur Waktu Terlihat Bagus di 'Game of Thrones ...
18843,"S.African labour minister to meet with strikers, employers -spokesman",Economy,Menteri Tenaga Kerja S.Afrika akan bertemu dengan juru bicara pemogok dan pengusaha
12601,Apple Offering Free Battery Replacement for Select iPhone 5 Phones,Technology,Apple Menawarkan Penggantian Baterai Gratis untuk Ponsel iPhone 5 Tertentu
53055,CBS gambles on Colbert for its 'Late Show',Entertainment,CBS bertaruh pada Colbert untuk 'Pertunjukan Terlambat'
17143,Twitter rolls out 'mute' feature,Technology,Twitter meluncurkan fitur 'bisu'
5526,Tracy Morgan's Health Gets A Wonderful Upgrade! Deets On How He's Healing  ...,Entertainment,Kesehatan Tracy Morgan Mendapat Peningkatan Luar Biasa! Deet Tentang Bagaimana Dia Menyembuhkan...
55731,Ann B. Davis - “Alice”,Entertainment,Ann B. Davis - “Alice”
65219,"One Bitcoin group now controls 51% of total mining power, threatening entire  ...",Economy,"Satu grup Bitcoin sekarang menguasai 51% dari total kekuatan penambangan, mengancam seluruh ..."
7186,Exclusive: GM's new recall risk - the spare parts market,Technology,Eksklusif: Risiko penarikan baru GM – pasar suku cadang
38428,China Crude Processing Falls to Four-Month Low on Weak Demand,Economy,Pemrosesan Minyak Mentah Tiongkok Turun ke Level Terendah dalam Empat Bulan karena Lemahnya Permintaan
30859,L'Wren Scott Funeral Location Revealed,Entertainment,Lokasi Pemakaman L'Wren Scott Terungkap
3714,Target 1Q profit falls 16 percent as data breach takes toll,Economy,Target laba kuartal pertama turun 16 persen karena pelanggaran data berdampak buruk
5965,Legendary Comic Book Character Archie Andrews Dies in Conclusion of LIFE  ...,Entertainment,Karakter Buku Komik Legendaris Archie Andrews Meninggal di Akhir HIDUP ...
48017,"VIDEO: Detroit's Accord With Police, Firefighter Retirees",Economy,"VIDEO: Kesepakatan Detroit Dengan Polisi, Pensiunan Pemadam Kebakaran"
2679,'Full House' Revival in the Works? Cut It Out!,Entertainment,Kebangkitan 'Full House' Sedang Berlangsung? Hentikan!
15864,"New iPhone out in September, Nikkei says",Technology,"IPhone baru keluar pada bulan September, kata Nikkei"
8857,General Motors sends replacement parts to dealers in recall,Economy,General Motors mengirimkan suku cadang pengganti ke dealer untuk ditarik kembali
46684,Angelina Jolie loses her wings in new Maleficent teaser,Entertainment,Angelina Jolie kehilangan sayapnya di teaser baru Maleficent
54053,Spacewalkers to replace failed computer outside Space Station,Technology,Spacewalker akan mengganti komputer yang rusak di luar Stasiun Luar Angkasa
4781,UPDATE 2-Caterpillar defends taxes attacked by US Senate Democrat,Economy,PEMBARUAN 2-Caterpillar membela pajak yang diserang oleh Senat Demokrat AS
32834,Turkish drama 'Winter Sleep' wins Cannes Palme d'Or,Entertainment,Drama Turki 'Winter Sleep' memenangkan Cannes Palme d'Or
49486,Barclays hit with securities fraud suit in New York over 'dark pools' trading,Economy,Barclays terkena gugatan penipuan sekuritas di New York atas perdagangan 'dark pool'
5872,Free Ice Cream Today!,Entertainment,Es Krim Gratis Hari Ini!
49924,3 arrested after mining disaster,Economy,3 ditangkap setelah bencana pertambangan
23310,"Miley Cyrus calls Avril Lavigne a ""dumb f**king bitch"" in play-fight",Entertainment,"Miley Cyrus menyebut Avril Lavigne sebagai ""raja jalang bodoh"" dalam pertarungan"
20619,Iraq crisis and Ukraine-Russia tension pushes oil prices to near 9-month highs,Economy,Krisis Irak dan ketegangan Ukraina-Rusia mendorong harga minyak mendekati level tertinggi dalam 9 bulan
14964,Presentation of joint edition of postage stamps held at Embassy of Bulgaria in  ...,Economy,Penyerahan prangko edisi bersama yang diadakan di Kedutaan Besar Bulgaria di ...
35008,Ice Bucket Challenge helps change lives of kiwis with MND,Entertainment,Ice Bucket Challenge membantu mengubah kehidupan kiwi dengan MND
60814,"Gwyneth Paltrow's tale of woe, you can almost hear violin music in background",Entertainment,"Kisah kesengsaraan Gwyneth Paltrow, Anda hampir dapat mendengar musik biola sebagai latar belakangnya"
5416,"Iggy Pop pays tribute to Stooges drummer Scott Asheton, who has died aged 64",Entertainment,"Iggy Pop memberikan penghormatan kepada drummer Stooges Scott Asheton, yang meninggal pada usia 64 tahun"
