Tweet,Category,,
Dasco datang  IHSG tumbang. Apakah itu dalangnya? Berhenti. Ini cocoklogi kelas penerimaan. Fakta waktu Rombongan Dasco dan Danantara baru tiba di BEI jam 10.27 WIB. Sementara IHSG sudah ambrol ke 6.565 sejak pasar buka. Biang keroknya jelas: - Rebalancing MSCI & FTSE coret belasan,Economy,,
Kondisi Indonesia sangat bagus... Perekonomian tumbuh subur  pemerintah dengan kebijakannya menyerap jutaan lapangan kerja Program Presiden untuk modernisasi kapal penangkap ikan mampu menyerap 500.000 lapangan kerja. Ini baru sisi ini  bahkan belum mencetak sawah,Economy,,
Bandingkan dengan Indonesia: Pertumbuhan kita hanya ilusi karena didorong oleh belanja pemerintah (APBN) dan bukan ekspor manufaktur. Ketika Rupiah melemah hingga Rp17.700  kita akan segera menghadapi pendarahan fiskal karena industri dalam negeri sangat bergantung pada bahan baku impor.,Economy,,
â¢ Perekonomian kita buruk â¢ Daya beli menurun â¢ Rupiah anjlok â¢ Utang menumpuk â¢ Pengangguran merajalela â¢ Korupsi merajalela â¢ Kemiskinan terus menurun (turun ke cucu!) â¢ Investor lari,Economy,,
Membantah pengamat yg sarat pesan sponsor yg mengatakan akan tamat jika nilai tukar rupiah jatuh ke 22 rb dan harga minyak dunia tembus 200 USD per barel Krn belum pada level resesi apalagi krisis,Economy,,
doa terbaik untuk perekonomian Indonesia semoga ada yang bisa mengambil tindakan dan menyelamatkan keadaan,Economy,,
Bisnis apa yang aman untuk dimulai ketika perekonomian Indonesia sedang terpuruk seperti saat ini? Apakah toko permen masih bisa bertahan? Karena orang tua saya mempunyai toko permen kecil  saya ingin meminjam ke bank untuk memperluas toko permen orang tua saya untuk membantu perekonomian keluarga kami.,Economy,,
Sejauh ini  situasi perang menunjukkan tanda-tanda bisa diselesaikan. Namun ketegangan juga muncul di tempat lain. Meski begitu  ia optimistis kondisi perekonomian Indonesia dalam kondisi baik.,Economy,,
Singapura kini melampaui pasar saham terbesar di Asia Tenggara  untuk pertama kalinya dalam lebih dari satu dekade.__** Kapitalisasi pasar SGX mencapai $645 miliar  sementara IHSG turun menjadi $618 miliar. -Dari sini saja kita sudah tau kemana larinya IDR kita.,Economy,,
Meski Purbaya sering mengklaim semuanya baik-baik saja  namun perekonomian Indonesia berada dalam mode bertahan.,Economy,,
Bank menaikkan suku bunga sebesar 50bps menjadi 5 0.25  yang merupakan langkah terbesar dalam beberapa tahun terakhir. Tapi apakah itu cukup untuk mempertahankan Rupiah? Peringatan Spoiler: Kurang tepat! Solusi moneter tidak dapat menyelesaikan masalah kredibilitas fiskal dan ketidakpercayaan terhadap arah kebijakan pemerintah. Sekarang BI sudah cukup,Economy,,
Ingin tahu lebih detail bagaimana Pak Habibie berhasil menghidupkan kembali perekonomian Indonesia di masa krisis + perjalanan karirnya? Anda dapat membaca buku biografinya. Harganya hanya setara dengan secangkir kopi di kafe,Economy,,
Pertumbuhan ekonomi secara luas dianggap dangkal  sebagian besar didorong oleh belanja sosial dan konsumsi musiman dibandingkan dengan investasi padat modal. Akibatnya  perekonomian tidak memiliki jangkar yang cukup kuat untuk menahan meningkatnya spekulasi valuta asing.,Economy,,
Sumpah muak bgt liat kelakuan presiden dan kabinetnya   dpr ga guno pisan  Market remuk   apa apa naik   sumpah serapah dari 283 juta penduduk indo buat pemerintahan saat ini.,Economy,,
Punya presiden halu bikin sengsara rakyatnya gara2 MBG negara harus efesiensi yg berakibat ASN nakes kayak kita2 yg gaji gk seberapa tapi kerja gk kenal tanggal merah terancam di stop tukin nya. Hidup 1 bulan cuma dngn modal gaji 3 jtan + udah punya anak bener2 survival ini mah,Economy,,
APINDO optimis tumbuh sampai 5 0.04  yuk sambut masa depan cerah!,Economy,,
Fundamentalnya masih terlihat kuat  meski rapuh. Bila belanja pemerintah dinormalkan  maka pertumbuhan Q1 masih di 4 86%. Belum resesif  apalagi 2 kuartal. Masih surplus exim,Economy,,
Rencana pemerintah untuk membentuk BUMN Khusus Ekspor menimbulkan kekhawatiran akan dominasi negara yang berlebihan dalam sektor perdagangan internasional.,Economy,,
sudah di singgung  pemerintah gak pingin kita jadi negara kaya penghasil  pencipta  karena mereka semua rangkap pengusaha importir  biaya pencari dan selisih harga impor. Bajingan,Economy,,
"Berantemlah Bennix vs Reinald K  rakyat nonton saja. Bursa terkoreksi serius   nilai tukar Rupiah terus melepem. Saat ini jelas berbeda dengan tahun 1998 sebab andalan ekspor hanya SDA  utang BUMN sudah melonjaki ambang kebangkrutan.1998 BUMN 100% milik negara. Rupiah anjlok disebut âstrategiâ. Itu sama kayak orang kelaparan karena gak punya duit  tapi gengsi terus bilang: ""Gua lagi strategi diet ketat kok",Economy,,
Perekonomian sedang runtuh. Tidak ada investor  PHK massal karena pabrik mangkrak dan tidak mampu membeli bahan baku produksi  tidak mampu mengimpor pangan sehingga krisis pangan  kelaparan  kemiskinan,Economy,,
global sarat tidak pasti  namun dapat mewujudkan ketahanan dengan fondasi yang solid. Faktor penentunya: pemerataan  UMKM maju  & gotong royong. STRATEGI,Economy,,
"Pertumbuhan ekonominya tinggi tapi yang tumbuh tinggi konsumsi Sektor industri pengolahan sektor stagnan Ibarat orang yang makannya banyak  tapi memasaknya sedikit atau ""Rajin Belanja"" belanjanya pakai utang pula oh",Economy,,
Di media cuman memberitakan perekonomiannya maju pesat  pendapatan negara semakin membesar dibandingkan tahunÂ² sebelumnya  TAPI DIBALIK ITU ANGGARAN BELANJA NEGARA JAUH LEBIH BESAR DIBANDINGKAN PENDAPATAN NEGARA.,Economy,,
HBO Max Indonesia  Disney Hotstar Indonesia  dan Netflix Indonesia harus lebih peka terhadap situasi perekonomian Indonesia saat ini. Dengan membuat paket berlangganan mingguan. CC:,Economy,,
Peringatan dari S&P Global menunjukkan betapa besarnya pengaruh lembaga keuangan global terhadap negara berkembang seperti Indonesia. Ancaman penurunan rating atau pandangan negatif saja sudah cukup untuk menekan rupiah  mengguncang pasar  dan mempengaruhi kepercayaan investor,Economy,,
Gada!!!yg Ada indon tambah bobrok  punya tambang tapi di kelola ama dinasti oligarki  punya banyak partai tapi di isi oligarki culas yg kerjanya nyari proyek. Sistem demokrasi yg di agung2kan oleh pejuang reformasi gada  yg Ada sekrng jadi negara bergntung pada pajak,Economy,,
masalahnya  dosanya selama 32 tahun itu dampaknya masih diwariskan sampai kini: budaya KKN yg gabisa ilang  orang2 kaya warisan zaman soeharto sampai skrg masih terus mengeruk kekayaan lewat tambang2  dll,Economy,,
The Economist yang mengungkap belanja pemerintah Indonesia yang tidak masuk akal tidak boleh diabaikan hanya karena mereka didukung oleh borjuis. Faktanya adalah investasi asing tidak lagi percaya pada perekonomian dan pemerintah tidak melakukan pengendalian kerusakan.,Economy,,
Mengapa rencana Indonesia untuk mempertahankan ekspor komoditas terbesarnya membuat dunia usaha dan investor terguncang,Economy,,
Di tengah membanjirnya informasi dan kegelisahan global  ada satu ukuran ekonomi yang sering diabaikan: apakah masyarakat awam masih mampu untuk hidup layak? Karena inti stabilitas ekonomi terlihat ketika petani masih mampu membeli pupuk  maka nelayan masih bisa keluar,Economy,,
yup tidak ada jalan keluarnya  perekonomian indonesia sudah rapuh dan hampir kolaps. mereka terlalu optimis  ketika itu runtuh!,Economy,,
disiplin kebijakan fiskal selama lebih dari 2 dekade (defisit anggaran dibatasi sebesar 3% - Anda lihat India dapat mengalami defisit anggaran sebesar 7-8% dari PDB jika digabungkan antara federal + negara bagian) merupakan penyangga yang sangat besar bagi pemerintahan ini. Jadi menurut saya akan tetap maju secara ekonomi,Economy,,
PERTUMBUHAN 5 6% TAPI RUPIAH & IHSG TERBURUK: PARADOKS EKONOMI INDONESIA? Pemerintah senang memamerkan pertumbuhan PDB kuartal pertama tahun 2026 sebesar 5 61% tahun-ke-tahun  melampaui Jepang dan Eropa  ditambah ekspor yang naik tipis 0,Economy,,
Ini kalau gak bisa rebound sih emang permasalahannya pada pemerintah kita sendiri  gak bisa membangun kepercayaan. Bikin kebijakan seenak udel dan ngomong didepan masyarakat juga seenak udel. Masa bursa asia pada ijo kita sendiri yg terkapar?,Economy,,
Akibat dari rasa frustasi para pengusaha. Tanya pengusaha di Negeri Konoha  70% pasti billing pemerintah buruk di semua sektor  takut memulai usaha baru  bisa bertahan saja sudah berkah. Semua indeks ekonomi memburuk namun ditolak,Economy,,
Kritik yang disampaikan sejalan dengan situasi perekonomian Indonesia saat ini.,Economy,,
Memang benar bahwa segala sesuatunya harus berdasarkan skenario terburuk juga  dan pilihan untuk menanggung kondisi tersebut nampaknya cukup sulit untuk situasi saat ini  dimana perekonomian benar-benar berada pada level yang bahkan lebih buruk dibandingkan krisis moneter 25-30 tahun yang lalu. Semoga kita,Economy,,
Dalam normal memang injeksi 200T ke himbara akan membantu dengan asumsi asumsi ideal  tapi dgn,Economy,,
Ada apa dengan perekonomian Indonesia? Apakah hanya di Indonesia yang perekonomiannya seperti ini? Atau global juga  semua orang mengalaminya? Saya sedang mengalami penurunan omzet ekonomi separah ini. Setiap kali saya pergi ke mana pun  saya mendengar orang mengeluh tentang hal yang sama dengan,Economy,,
Kredit bermasalah hanya berkisar 2%  dan permodalan perbankan (CAR) kuat di atas 25%. Bank kami memiliki benteng yang kokoh. 5 Pernafasan Perekonomian Masih Panjang. Ingat '98? Perekonomian kita mengalami kontraksi hingga -13% dan inflasi menjadi sangat gila  melonjak hingga di atas 77%! Harga dari,Economy,,
MANDIRI DI BULAN RAMADAN BAZNAS DAN AKSESMU PERKUAT UMKM ZMART Zmart telah membantu banyak warung UMKM di untuk lebih berdaya dan stabil secara . Semoga di,Economy,,
Presiden Prabowo Subianto menyoroti global. Menurut Prabowo di tengah kebijakan tarif dari Presiden AS Donald Trump kepada banyak negara membuat,Economy,,
Tidak Sedang Runtuh  Sedang Diuji Oleh: Abdullah Rasyid Mahasiswa Doktoral Ilmu Pemerintahan IPDN Dolar boleh naik. Dunia boleh bergejolak. Tetapi tidak sedang berdiri di titik rapuh seperti tahun 1998. Kita harus jujur ââââmelihatnya,Economy,,
Selamat pagi. Bangun tidur dan mendapati $1 sekarang setara dengan 18.100 rupiah. Pertamax naik dari Rp12.300 menjadi Rp16.250 dan 5kg beras dari Rp75.000 menjadi Rp90.000. Jika Anda tidak melihat ada yang salah dengan situasi Indonesia yang kacau saat ini Anda mungkin anak nepotisme atau orang-orang bodoh yang memilih O2.,Economy,,
"""tgl 10 Juni 2026"" ""jika dijumlahkan angkanya ini benar"" ""10 Juni. Juni adalah bulan ke-6 kan?"" ""jadi jika 10+6 =17"" DAN PENONTON BERTEPUK TANGAN",Economy,,
Selamat pagi warga negara Indonesia. Bangun tidur lalu mengecek berita: - Harga bahan bakar naik - RUU Polri telah disahkan - Rupiah melemah Siapkan dana darurat dan kurangi pengeluaran impulsif teman-teman. Situasi mungkin akan semakin memburuk di kemudian hari.,Economy,,
Kalo benar begini berarti ada permainan antar petinggi bumn penguasa listrik ini di Sumatra uda padam dari minggu2 lalu sampai sekarang ini pulau Jawa mulai juga.. Bayangin aja kalau indonesia seluruhnya mobil listrik apa ga lumpuh ekonomi kita karena disarankan pakai mobil ev,Economy,,
mau jadi anak bos tambang yang kalo pindahan mau ngekos gausah bw barag banyak karena tinggal beli disana aja meski lebih mahal jd litereli bawa baju aja,Economy,,
"Pertama Najwa bertanya kepada Prabowo ""Bagaimana Anda akan menangani korupsi jika terpilih sebagai presiden?"" Kemudian Prabowo menjawab ""Saya akan menaikkan gaji para pejabat karena para pejabat yang korup melakukannya karena gaji mereka terlalu rendah."" Dari situ saya berpikir ohh ada yang salah dengan orang ini. Dia dan para pemilihnya memiliki logika yang tidak masuk akal.",Economy,,
Indonesia sekarang aneh sekali ya? Semuanya tentang pelemahan rupiah MBG korupsi PHK massal dan kenaikan harga bahan bakar. Dulu jauh lebih seru ada manusia babi hutan yang bisa berubah bentuk nenek dengan sendok sayur Ponari UFO di GBK kiamat 2012 gua langsung ke Mekah Wewe Gombel. Sekarang berita hanya membuat semua orang khawatir.,Economy,,
Banyak yang mengira streaming ilegal lewat Telegram lebih aman dibanding website. Padahal  keduanya tetap punya risiko yang nggak bisa dianggap sepele.,Technology,,
Sebelum asal klik link atau download file  coba pahami dulu bedanya di visual berikut ini!,Technology,,
SpaceX Ternyata Bakar Duit Besar-besaran dan Rugi Raksasa,Technology,,
'Gerbang Internet' di Wamena Bikin Internet Papua Pegunungan Stabil,Technology,,
Google Search Berubah Total Setelah 25 Tahun  AI Kini Ambil Alih,Technology,,
Senjata Laser Makin Menjamur di Timur Tengah  Ini Alasannya,Technology,,
Integrasi Jaringan XLSmart Capai 70%  Sinyal 5G Makin Dikebut,Technology,,
Apple Ingin Ganti Aluminium iPhone Pro  Pakai Titanium Lagi?,Technology,,
3 HP Ultra Terbaik 2026 Sudah Resmi di RI  Kamera dan AI Juara,Technology,,
Apple Umumkan Fitur Aksesibilitas Baru Berbasis AI,Technology,,
Digitalisasi UMKM Kian Masif  Koneksi Internet Stabil Jadi Andalan,Technology,,
Perbanding iPhone 17e vs 16e: Serupa Tapi Ada Bedanya  Perlu Upgrade?,Technology,,
WhatsApp Web Down   Malah Muncul Facebook Bikin Netizen Heboh,Technology,,
Pria Ini Rakit Komputer Setipis Kartu Kredit  Tebalnya Cuma 1 mm,Technology,,
Bocoran Galaxy Z Fold8 dan Fold Wide: Upgrade Baterai dan Kamera,Technology,,
Xiaomi 17T Series Dipastikan Rilis Akhir Mei  Speknya Gahar,Technology,,
Galaxy Z Flip8 Kabarnya Tak Punya Penerus  Jadi HP Flip Terakhir Samsung?,Technology,,
Mantan Bos Google Dicemooh Saat Sebut AI di Pidato Wisuda  Kenapa?,Technology,,
Sam Altman Sebut Elon Musk Gila Kontrol  OpenAI Buktinya,Technology,,
Usai Batasi Usia   Komdigi Akan Wajibkan Akun Medsos Pakai Nomor HP,Technology,,
Apple Bocorkan Agenda WWDC 2026   Ada Gebrakan AI Baru?,Technology,,
Ramalan Teknologi Masa Depan Ini Ternyata Meleset Jauh,Technology,,
Apa Saja 5 Keunggulan Telkomsel 5G Powered by AI? Simak di Sini!,Technology,,
iPhone 16 Pro Max Kirana Larasati Ikut Diving 150 Meter  Begini Nasibnya,Technology,,
Syarat Berat Gemini Intelligence: RAM 12GB dan Chip Flagship,Technology,,
Spesifikasi Garmin Forerunner 70 dan 170  Buat Pelari Pemula,Technology,,
Jenius! RTX 3070 Disulap Jadi Pakai VRAM 16GB  Kanibal dari GPU AMD ,Technology,,
DJI Pamer Osmo Pocket 4P di Festival Film Cannes,Technology,,
Hoax dan Deepfake Jadi Ancaman Baru Ketahanan Nasional,Technology,,
5G Bukan Lagi Teknologi 'Orang IT'  Kini Dekat dengan Aktivitas Harian,Technology,,
Google Gagalkan Eksploitasi Zero-Day yang Diciptakan Pakai AI,Technology,,
Ramalan Teknologi Zaman Dulu Ini Bikin Tercengang,Technology,,
Heboh! Donald Trump Posting Foto Bareng Alien  AI atau Nyata?,Technology,,
Ngeri! Dua Jet Tempur Angkatan Laut AS Bertabrakan di Udara,Technology,,
Show Bangun Platform Film Berbasis Kripto dan AI,Technology,,
Linknet Garap CCTV Berbasis AI di Kawasan Industri EJIP,Technology,,
Bitcoin Senilai Rp 6 4 Miliar Selamat Berkat AI Claude,Technology,,
Unboxing MacBook Neo: Laptop Apple Rp 10 Jutaan Warna Citrus Bikin Kepincut,Technology,,
SAP Autonomous Enterprise: Kolaborasi Manusia dan Agen AI di Dunia Bisnis,Technology,,
Microsoft Mau Bangun Data Center  Presiden Ketar-ketir,Technology,,
